date,month,hour,scc_pm,scc_ws,scc_wd2,iors_pm,iors_wd2,iors_ws,sma_se_pm,sma_se_o3,sma_se_no2,sma_se_co,sma_se_so2,sma_sw_pm,sma_sw_o3,sma_sw_no2,sma_sw_co,sma_sw_so2,sma_ne_pm,sma_ne_o3,sma_ne_no2,sma_ne_co,sma_ne_so2,sma_nw_pm,sma_nw_o3,sma_nw_no2,sma_nw_co,sma_nw_so2,sma_c_pm,sma_c_o3,sma_c_no2,sma_c_co,sma_c_so2,sma_c_pm_12aft
2015-06-18 7:00,0.454545455,0.260869565,0.207409551,0.057212089,1,0.063421829,0.285714286,0.240128068,0.081395349,0.165862485,0.168341709,0.111111111,0.115942029,0.079721776,0.185376416,0.195418754,0.106557377,0.131944444,0.117710583,0.174717369,0.185660019,0.10619469,0.105022831,0.095768374,0.161490683,0.103030303,0.08,0.057692308,0.14893617,0.187242798,0.162790698,0.142857143,0.195876289,21.33333333
2015-06-18 8:00,0.454545455,0.304347826,0.168509407,0.109712593,0,0.075221239,0.285714286,0.280816435,0.094684385,0.115199035,0.246231156,0.142857143,0.086956522,0.08988764,0.124750167,0.27702219,0.139344262,0.131944444,0.103671706,0.137718397,0.26377018,0.123893805,0.086757991,0.084632517,0.163561077,0.106060606,0.1,0.057692308,0.125295508,0.146090535,0.239202658,0.142857143,0.134020619,19.66666667
2015-06-18 9:00,0.454545455,0.347826087,0.117452967,0.187117184,0.428571429,0.064896755,0.285714286,0.269699395,0.07807309,0.145958987,0.238693467,0.158730159,0.115942029,0.097913323,0.125916056,0.289906943,0.163934426,0.138888889,0.091792657,0.153134635,0.240503324,0.123893805,0.095890411,0.08908686,0.167701863,0.121212121,0.12,0.057692308,0.11820331,0.152263374,0.242524917,0.160714286,0.154639175,10
2015-06-18 10:00,0.454545455,0.391304348,0.115629522,0.142020596,0.428571429,0.079646018,0.285714286,0.271700462,0.088039867,0.212907117,0.163316583,0.142857143,0.101449275,0.097913323,0.170219853,0.236936292,0.155737705,0.131944444,0.085313175,0.207605344,0.180674264,0.10619469,0.086757991,0.071269488,0.182194617,0.115151515,0.12,0.057692308,0.139479905,0.195473251,0.199335548,0.160714286,0.134020619,10.33333333
2015-06-18 11:00,0.454545455,0.434782609,0.128494935,0.115097261,0.571428571,0.084070796,0.285714286,0.249244041,0.089700997,0.270808203,0.105527638,0.095238095,0.086956522,0.109951846,0.227348434,0.201145311,0.155737705,0.131944444,0.091792657,0.265159301,0.110873694,0.10619469,0.105022831,0.097995546,0.182194617,0.136363636,0.12,0.057692308,0.141843972,0.218106996,0.19269103,0.142857143,0.195876289,13
2015-06-18 12:00,0.454545455,0.47826087,0.124949349,0.127885845,0.428571429,0.087020649,0.285714286,0.255247243,0.111295681,0.340168878,0.073701843,0.084656085,0.1352657,0.104333868,0.284477015,0.165354331,0.12295082,0.138888889,0.109071274,0.318602261,0.094254511,0.097345133,0.105022831,0.097995546,0.18115942,0.163636364,0.16,0.048076923,0.124113475,0.275720165,0.169435216,0.142857143,0.216494845,12.66666667
2015-06-18 13:00,0.454545455,0.52173913,0.128089725,0.067981423,0.428571429,0.097345133,0.285714286,0.24613127,0.106312292,0.395657419,0.060301508,0.084656085,0.115942029,0.113964687,0.362591606,0.141016464,0.114754098,0.125,0.10475162,0.37307297,0.087606838,0.10619469,0.105022831,0.106904232,0.227743271,0.140909091,0.1,0.048076923,0.145390071,0.355967078,0.136212625,0.142857143,0.195876289,15
2015-06-18 14:00,0.454545455,0.565217391,0.125962373,0.03567342,0.571428571,0.087020649,0.285714286,0.234569548,0.104651163,0.390229192,0.09798995,0.095238095,0.101449275,0.096308186,0.438374417,0.138153185,0.106557377,0.138888889,0.11987041,0.412127441,0.074311491,0.097345133,0.105022831,0.10467706,0.287784679,0.090909091,0.06,0.076923077,0.1678487,0.393004115,0.146179402,0.142857143,0.195876289,13.33333333
2015-06-18 15:00,0.454545455,0.608695652,0.189479016,0.021538669,0.285714286,0.088495575,0.285714286,0.238127001,0.096345515,0.377563329,0.123115578,0.095238095,0.115942029,0.115569823,0.493171219,0.132426628,0.098360656,0.138888889,0.098272138,0.404933196,0.074311491,0.097345133,0.086757991,0.111358575,0.311594203,0.063636364,0.07,0.048076923,0.1678487,0.393004115,0.166112957,0.125,0.195876289,14
2015-06-18 16:00,0.454545455,0.652173913,0.179551375,0.049135088,0.142857143,0.091445428,0.142857143,0.210556741,0.083056478,0.41013269,0.085427136,0.095238095,0.086956522,0.101926164,0.503331113,0.135289907,0.098360656,0.111111111,0.102051836,0.397225077,0.076638177,0.09439528,0.095890411,0.129175947,0.311594203,0.072727273,0.07,0.048076923,0.191489362,0.395061728,0.139534884,0.107142857,0.195876289,9.666666667
